# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

LZ_NORTH,"[0, 0, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
HB_SOUTH,"[2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
COL_COLETOG1,"[8, 1, 21619, 21619, 44610, 44609, 3, 0, 0, 0, 744, 12093, 744, 0, 0, 31673, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 23778, 23778, 1, 2, 2, 1, 2, 2, 2, 1, 0, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 15836, 0, 0, 0, 0, 0, 0, 3289, 3289, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
SGM_SIGNALMT,"[0, 2, 747, 746, 2, 33186, 33185]"
LZ_SOUTH,"[2, 0, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
FER_FERGUSG1,"[2, 19076, 24115, 24115, 24115, 24115, 24115, 24115, 24115, 24115, 0, 744, 744, 744, 744, 744, 744, 744, 8014, 0, 0, 0, 0, 0, 19076, 2, 1, 1]"
CPSES_UNIT1,"[19076, 0, 5303, 5304, 0, 744, 744, 745, 745, 744, 744, 744, 2159, 2423, 0, 0, 0, 0, 0, 0]"
CPSES_UNIT2,"[0, 0, 5303, 5304, 0, 744, 744, 745, 745, 744, 744, 744, 2159, 2423, 0, 0, 0, 0, 0, 0]"
SD5SES_5,"[0, 0, 744, 744, 744, 0, 0, 0, 0]"
OGSES_2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
OGSES_1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
TGCCS_CT3,"[0, 0, 744, 0, 0, 0, 0, 0]"
